vm_mean,vm_sd,vm_max,vm_min,vm_10perc,vm_25perc,vm_50perc,vm_75perc,vm_90perc,activity,vol_id,menmo
4.650896204,0.13540455,4.921319717,4.415302703,4.479430397,4.5716889,4.647523303,4.719535787,4.84193832,brush_teeth,f1,3.650896204
4.771666816,0.07703784,4.949232058,4.623586381,4.659803192,4.723745896,4.782781551,4.818120558,4.867006425,brush_teeth,f1,3.771666816
4.762653749,0.054481151,4.884899681,4.683339991,4.699652614,4.721177464,4.753087074,4.80698896,4.817908726,brush_teeth,f1,3.762653749
4.69766785,0.081119133,4.830810977,4.571986573,4.589248254,4.618754733,4.693404373,4.763407044,4.80698896,brush_teeth,f1,3.69766785
4.710345566,0.104936759,4.961072958,4.565844804,4.588305387,4.622753128,4.701536216,4.768356001,4.830282875,brush_teeth,f1,3.710345566
4.706847972,0.092057319,4.857668039,4.515845119,4.589859486,4.648485302,4.699380566,4.778778819,4.819549456,brush_teeth,f1,3.706847972
4.646723838,0.162127636,5.049247267,4.354800307,4.466877424,4.555076776,4.642856623,4.720563456,4.854982333,brush_teeth,f1,3.646723838
4.720374954,0.474441248,5.366658216,3.810565334,3.983407554,4.319460893,4.794759999,5.116246526,5.260390908,brush_teeth,f1,3.720374954
4.846668092,0.47838712,5.465102647,3.923373184,4.061553321,4.551575167,4.90132102,5.252063881,5.423338473,brush_teeth,f1,3.846668092
4.951084116,0.532980248,5.576005446,3.918819064,4.13142666,4.372668694,5.127199155,5.32370517,5.52097456,brush_teeth,f1,3.951084116
4.927765176,0.513453255,5.448740727,3.810565334,4.114591847,4.595592281,5.120102216,5.362734698,5.400443957,brush_teeth,f1,3.927765176
4.922434918,0.544308547,5.588800755,3.741657387,4.056522421,4.490471696,5.187552102,5.298830047,5.399357483,brush_teeth,f1,3.922434918
4.78308146,0.52645771,5.492573836,3.882193783,4.043378614,4.326929043,4.956087747,5.245003846,5.344079279,brush_teeth,f1,3.78308146
4.899003688,0.498436116,5.481881101,3.975691443,4.215918653,4.347239365,5.029068513,5.33172493,5.429887051,brush_teeth,f1,3.899003688
5.026075209,0.689345517,6.41029147,3.456729609,4.164399863,4.454550312,5.074861925,5.433853137,5.733265883,brush_teeth,f1,4.026075209
5.142201661,0.735321999,6.347906613,3.642857143,4.325065454,4.679095165,5.085752744,5.713872758,6.156164973,brush_teeth,f1,4.142201661
5.172346322,0.65265698,6.435710322,4.153311931,4.515561944,4.614041537,5.080174544,5.681090691,6.074490766,brush_teeth,f1,4.172346322
5.196621757,0.612628663,6.568710618,4.401993982,4.509157882,4.616959853,5.253036046,5.622249881,5.992871765,brush_teeth,f1,4.196621757
5.165963348,0.674713009,6.538348415,4.243843079,4.426258283,4.570141197,5.193643505,5.580086453,6.317852984,brush_teeth,f1,4.165963348
4.757273234,0.706093559,6.237231856,3.632337753,3.807165074,4.052580784,4.834356781,5.23880029,5.603524684,brush_teeth,f1,3.757273234
4.70178553,0.341411814,5.461367101,3.794464282,4.344217584,4.558141683,4.682248433,4.855303741,5.122521243,brush_teeth,f1,3.70178553
4.684859288,0.100795188,4.921319717,4.461284706,4.594806296,4.622065572,4.666423674,4.745297854,4.820341738,brush_teeth,f1,3.684859288
4.921259399,0.465343277,5.606574129,3.878906852,4.142131415,4.649496476,5.003556413,5.253400255,5.37505774,brush_teeth,f1,3.921259399
4.755828726,0.521980347,5.393211909,3.788408745,3.982222804,4.363523306,4.835584142,5.262363451,5.290538339,brush_teeth,f1,3.755828726
4.684529752,0.526627271,5.376156734,3.665893549,3.988178449,4.284500965,4.77737755,5.181271986,5.292984517,brush_teeth,f1,3.684529752
4.805747862,0.433691971,5.601111406,4.121249068,4.243235821,4.480244566,4.775769503,5.226365462,5.372571578,brush_teeth,f1,3.805747862
4.846282889,0.367574925,5.97144566,3.808556425,4.607608474,4.693126704,4.750938998,4.960317063,5.317929333,brush_teeth,f1,3.846282889
4.856953059,0.151013578,5.235767881,4.64065882,4.71179427,4.747716138,4.812822979,4.904439402,5.120762191,brush_teeth,f1,3.856953059
5.138444046,0.633778126,6.650533199,3.752550153,4.511861805,4.808238581,5.047725663,5.306783683,6.126639722,brush_teeth,f1,4.138444046
5.063635025,0.6990793,6.650533199,3.899895341,4.43660733,4.580348339,4.966906818,5.49880591,6.073141252,brush_teeth,f1,4.063635025
5.107105701,0.535657507,6.389564196,4.400255095,4.584353617,4.684424606,4.967725979,5.410683833,5.840400703,brush_teeth,f1,4.107105701
4.899524995,0.496610479,5.922113522,3.982102819,4.473668648,4.635136318,4.728598989,5.036649469,5.716835623,brush_teeth,f1,3.899524995
4.643827435,0.236374687,5.151777977,4.296415212,4.423786763,4.466855245,4.597759426,4.769290139,5.092015008,brush_teeth,f1,3.643827435
4.968236447,0.537727716,5.64873112,3.721832991,4.110770755,4.784637259,5.034569341,5.378628704,5.577466748,brush_teeth,f1,3.968236447
4.753729075,0.576121224,5.492573836,3.646356862,3.89206283,4.156388065,4.837143701,5.24647166,5.365588381,brush_teeth,f1,3.753729075
4.817388761,0.445559132,5.4031359,3.974407927,4.126599566,4.506275918,4.89350848,5.193450118,5.313056412,brush_teeth,f1,3.817388761
4.849164269,0.455512673,5.384691074,3.975049737,4.132374248,4.589637685,4.955831979,5.229036293,5.317806941,brush_teeth,f1,3.849164269
4.829775395,0.483218575,5.517134719,3.915562878,4.143534423,4.290473424,5.001925741,5.205101741,5.278808212,brush_teeth,f1,3.829775395
4.74952919,0.716821688,6.315271416,2.513230298,4.049252977,4.415298614,4.812298773,5.211457876,5.443104803,brush_teeth,f1,3.74952919
4.582926921,0.141007271,4.899500183,4.36299373,4.437080898,4.488647812,4.540632879,4.65242428,4.797690368,brush_teeth,f1,3.582926921
4.979943212,0.491608091,6.435710322,4.22214763,4.608252169,4.725498177,4.819173671,5.064295125,5.502747451,brush_teeth,f1,3.979943212
5.157180075,0.612938228,6.591196974,4.247448214,4.482738452,4.670658515,5.050466677,5.497787608,6.192779915,brush_teeth,f1,4.157180075
5.226061381,0.558156273,6.277592155,4.310049955,4.489721785,4.802983063,5.152272531,5.640466136,6.100697512,brush_teeth,f1,4.226061381
5.221078964,0.533193405,6.385969953,4.425113858,4.64812813,4.794731975,5.019575551,5.599736902,5.934327999,brush_teeth,f1,4.221078964
5.138384578,0.583598607,6.447590912,4.178418801,4.501531146,4.654928488,5.082863409,5.528337892,5.947010539,brush_teeth,f1,4.138384578
4.864644042,0.592999389,5.671716437,3.805205886,4.009173082,4.309823696,4.991281209,5.322974582,5.540388565,brush_teeth,f1,3.864644042
4.782177053,0.534871634,5.406439849,3.508735455,4.088281272,4.340408764,4.817681044,5.287282252,5.35051956,brush_teeth,f1,3.782177053
4.797970286,0.31874344,5.433738143,3.983383855,4.44331571,4.68930926,4.788099948,5.015022853,5.140872417,brush_teeth,f1,3.797970286
4.845861296,0.600165205,5.562722135,3.690168958,3.900736541,4.361597563,5.093309356,5.309670578,5.407122878,brush_teeth,f1,3.845861296
4.755691036,0.622924756,5.551245494,3.53047953,3.915119892,4.211388107,4.972106061,5.285472951,5.412087179,brush_teeth,f1,3.755691036
4.809916662,0.618643993,5.429041333,3.399429724,3.843682165,4.359320114,5.019780708,5.345224583,5.397606514,brush_teeth,f1,3.809916662
4.776277535,0.503435934,5.387059324,3.819258396,3.991435752,4.396622369,4.889695429,5.244646501,5.304019198,brush_teeth,f1,3.776277535
4.865467778,0.307986882,5.509268628,3.970554888,4.623971728,4.726978369,4.833977339,5.021633605,5.23987036,brush_teeth,f1,3.865467778
4.84088598,0.55785158,5.415868596,3.822596617,4.066090496,4.120320161,5.072650906,5.324171684,5.374258184,brush_teeth,f1,3.84088598
4.701897115,0.546647207,5.42998102,3.54346193,3.837842435,4.376494968,4.830144746,5.148289994,5.30491974,brush_teeth,f1,3.701897115
4.751787719,0.136047672,5.061358211,4.531634836,4.629265794,4.642581213,4.70860046,4.839382999,4.911305137,brush_teeth,f1,3.751787719
5.019375168,0.502370121,6.483102054,3.616853972,4.506669684,4.843831187,4.995133734,5.146947022,5.583959834,brush_teeth,f1,4.019375168
5.162152968,0.608780993,6.460634328,3.985944694,4.430417643,4.78291147,5.076860062,5.530811912,5.97423582,brush_teeth,f1,4.162152968
5.076963349,0.586594185,6.284902545,4.12867029,4.433458265,4.629783383,4.891676789,5.508651242,5.944843666,brush_teeth,f1,4.076963349
4.809159297,0.6593009,5.854529033,3.542021791,3.733064173,4.280288994,5.070102058,5.232716603,5.473651389,brush_teeth,f1,3.809159297
4.744089118,0.512993585,5.42998102,3.882193783,4.046594614,4.28923559,4.762838676,5.228208988,5.375164754,brush_teeth,f1,3.744089118
4.745146071,0.51027441,5.400774699,3.733466956,4.036291866,4.200946888,4.943557269,5.156108879,5.249635505,brush_teeth,f1,3.745146071
4.994140157,0.553478729,6.32253824,3.473661833,4.374880894,4.72744375,5.11524746,5.238778707,5.357798425,brush_teeth,f1,3.994140157
4.857712539,0.27192786,5.942324839,4.504532864,4.597799908,4.716990194,4.838196941,4.93555404,4.99055224,brush_teeth,f1,3.857712539
4.847832513,0.160088121,5.063373885,4.605342949,4.614800377,4.678157096,4.883332753,4.992340367,5.037607874,brush_teeth,f1,3.847832513
4.876353362,0.250814241,5.359523281,4.433752729,4.593195579,4.693535586,4.841526249,5.066872398,5.208507893,brush_teeth,f1,3.876353362
4.765639256,0.236072384,5.207921752,4.464714265,4.497785489,4.597441661,4.656847047,4.996802784,5.113895194,brush_teeth,f1,3.765639256
4.843252537,0.148754192,5.048742013,4.479545349,4.645054425,4.776098984,4.881242732,4.957985045,5.005812682,brush_teeth,f1,3.843252537
4.836217778,0.098688702,5.024937811,4.642857143,4.689972997,4.780344919,4.842677977,4.898847431,4.946188,brush_teeth,f1,3.836217778
4.619705376,0.12237842,4.837143701,4.333660375,4.471307389,4.570850398,4.617235145,4.696665619,4.760108614,brush_teeth,f1,3.619705376
4.837691339,0.150579855,5.183372159,4.676253515,4.689490594,4.729141383,4.771833806,4.902564,5.090880173,brush_teeth,f1,3.837691339
4.736833343,0.050401225,4.859768198,4.600354911,4.686334818,4.716854889,4.741264793,4.766886593,4.793170097,brush_teeth,f1,3.736833343
4.856160809,0.341555755,5.317472163,3.502914239,4.587986153,4.747985039,4.921306504,5.056819704,5.175037949,brush_teeth,f1,3.856160809
4.830829676,0.503259112,5.400774699,3.69362385,4.188767789,4.357435558,5.090386497,5.231502167,5.338978856,brush_teeth,f1,3.830829676
4.767155579,0.515869943,5.434677018,3.783017908,4.029419115,4.269028656,4.930863912,5.183973126,5.313049154,brush_teeth,f1,3.767155579
4.777561846,0.581137336,5.493038266,3.485392257,3.985265156,4.253403939,4.987535377,5.256797107,5.347514882,brush_teeth,f1,3.777561846
4.864648494,0.617170275,6.255201917,3.761377299,4.090299599,4.33702579,4.977495226,5.315049517,5.516023886,brush_teeth,f1,3.864648494
4.870822195,0.416964893,6.211000774,3.783017908,4.348720417,4.722988251,4.892205379,5.037348517,5.163943634,brush_teeth,f1,3.870822195
5.082679173,0.661716183,6.503923463,3.271709283,4.673463645,4.770221803,4.987890066,5.385506519,6.06345347,brush_teeth,f1,4.082679173
5.112128244,0.698613824,6.481134317,3.992978531,4.331617623,4.60699442,4.968519226,5.339536924,6.324271222,brush_teeth,f1,4.112128244
4.954529164,0.481036509,6.183008316,4.186348075,4.447597376,4.646289642,4.90907344,5.200806665,5.499949705,brush_teeth,f1,3.954529164
4.856191543,0.482401963,5.425751147,3.656835925,4.144081934,4.697173354,4.987674511,5.228287279,5.379853282,brush_teeth,f1,3.856191543
4.791853271,0.553019732,5.483742205,3.931167973,3.97353848,4.221369444,4.900009762,5.286196889,5.387528151,brush_teeth,f1,3.791853271
4.883134814,0.504607604,5.455758987,3.782343513,4.047032908,4.669641512,5.012102932,5.316752354,5.338969172,brush_teeth,f1,3.883134814
4.778039018,0.500393552,5.505563049,3.861769712,4.146543537,4.302941566,4.864751588,5.24731903,5.346847181,brush_teeth,f1,3.778039018
4.914488643,0.338793658,6.173511553,4.093922823,4.648596717,4.775041404,4.880708893,5.057324376,5.148601613,brush_teeth,f1,3.914488643
5.185625224,0.590755167,6.413474336,3.90838972,4.646200024,4.795023786,5.076452057,5.628359515,6.017844665,brush_teeth,f1,4.185625224
4.901247421,0.404386079,6.232731245,3.921422066,4.461286036,4.696120166,4.935036618,5.070407799,5.310808152,brush_teeth,f1,3.901247421
5.106915033,0.692002065,6.470103933,3.982743388,4.216975928,4.555055735,4.954564622,5.684691242,5.97182317,brush_teeth,f1,4.106915033
4.866302862,0.548859152,5.780862163,3.764766844,4.100246601,4.36254156,5.049207774,5.215630903,5.399593292,brush_teeth,f1,3.866302862
4.706647073,0.162959351,5.102020408,4.409521238,4.554760413,4.633369273,4.66777803,4.734362183,4.961364435,brush_teeth,f1,3.706647073
4.653179648,0.095270844,4.856092323,4.509626891,4.535740751,4.56891239,4.657120946,4.70073811,4.772738617,brush_teeth,f1,3.653179648
4.546146234,0.179505067,4.796363418,4.241437954,4.302276658,4.409665803,4.543361176,4.725622404,4.763217445,brush_teeth,f1,3.546146234
4.616919712,0.268605401,5.177462936,4.165578089,4.251375583,4.478111583,4.579791322,4.799927494,5.004736034,brush_teeth,f1,3.616919712
4.358846628,0.156895744,4.580905356,4.116294153,4.18665026,4.215336012,4.383301756,4.474381929,4.547179792,brush_teeth,f1,3.358846628
4.330747971,0.302847263,4.842941424,3.916214332,4.008282242,4.042661447,4.297889498,4.605610906,4.720492723,brush_teeth,f1,3.330747971
4.925898896,0.154577846,5.282817739,4.516409988,4.775201649,4.838852204,4.920282448,5.045835707,5.099519785,brush_teeth,f1,3.925898896
5.02614668,0.233681496,5.500927566,4.678435113,4.757365558,4.831724036,4.993615496,5.206082644,5.353415605,brush_teeth,f1,4.02614668
5.16777767,0.112157474,5.496752288,4.963643329,5.004520382,5.10051281,5.186308478,5.212938242,5.25298612,brush_teeth,f1,4.16777767
5.239215637,0.271684798,6.197843601,4.757378802,4.997498342,5.080331931,5.190461465,5.330169404,5.528216387,brush_teeth,f1,4.239215637
5.094004794,0.186172024,5.417281493,4.617513245,4.892205379,4.985655522,5.079905565,5.243314347,5.321544469,brush_teeth,f1,4.094004794
5.173909688,0.164636167,5.650085786,4.920282886,4.995916465,5.047478488,5.158684407,5.260918534,5.376774641,brush_teeth,f1,4.173909688
5.365753092,0.075818152,5.492109368,5.190749228,5.269182514,5.311471973,5.366658216,5.4031359,5.475870435,brush_teeth,f1,4.365753092
5.342412157,0.106983045,5.533294402,5.075953716,5.200174479,5.300891497,5.340184412,5.410684818,5.458750633,brush_teeth,f1,4.342412157
5.185142677,0.108752029,5.442182185,4.964157244,5.064630521,5.119864162,5.179431529,5.248054146,5.309790726,brush_teeth,f1,4.185142677
5.110957199,0.103864389,5.341883028,4.872350143,4.994280606,5.044318657,5.110262752,5.181279865,5.189225492,brush_teeth,f1,4.110957199
5.277287588,0.190404442,5.568680641,4.735342584,5.099567693,5.186691874,5.295836568,5.412570403,5.45622655,brush_teeth,f1,4.277287588
5.317628387,0.114443533,5.574632778,5.088001091,5.149299592,5.275683971,5.327058383,5.369509536,5.440019784,brush_teeth,f1,4.317628387
5.045748522,0.098144288,5.268795316,4.85031032,4.928199437,4.99259654,5.048739965,5.090129471,5.151381687,brush_teeth,f1,4.045748522
5.057975975,0.20230133,5.442650915,4.753623752,4.815578451,4.917162852,5.029504553,5.201549727,5.376005385,brush_teeth,f1,4.057975975
4.812395356,0.111705505,5.197134218,4.643406561,4.697153399,4.723340865,4.798754089,4.855172915,4.958443532,brush_teeth,f1,3.812395356
5.058863843,0.219718988,5.406911677,4.697480871,4.763699923,4.895004478,5.059832641,5.241708017,5.330218022,brush_teeth,f1,4.058863843
4.517867578,0.184758541,4.887510113,4.242640687,4.336483826,4.377583786,4.467823965,4.610736377,4.842360824,brush_teeth,f1,3.517867578
4.867563362,0.355854461,5.632902612,3.815917254,4.518612046,4.604769327,4.942259526,5.060955192,5.241647277,brush_teeth,f1,3.867563362
